parcode,trial,rt,choice,item_left,item_right
0,0,4900,-1,6,7
0,1,10270,-1,6,7
0,2,1770,1,6,7
0,3,1470,1,6,7
0,4,1500,-1,6,7
0,5,470,1,6,7
0,6,3490,-1,6,7
0,7,660,1,6,7
0,8,5660,-1,6,7
0,9,2030,-1,6,7
0,10,2760,-1,6,7
0,11,5870,1,6,7
0,12,1250,-1,6,7
0,13,1510,-1,6,7
0,14,5160,-1,6,7
0,15,790,-1,6,7
0,16,440,-1,6,7
0,17,1880,-1,6,7
0,18,1630,1,6,7
0,19,2330,1,6,7
0,20,2980,-1,6,7
0,21,6490,1,6,7
0,22,410,1,6,7
0,23,3620,-1,6,7
0,24,1870,1,6,7
0,25,790,1,6,7
0,26,1140,-1,6,7
0,27,880,1,6,7
0,28,980,-1,6,7
0,29,7210,1,6,7
0,30,4010,1,6,7
0,31,2910,-1,6,7
0,32,4640,-1,6,7
0,33,3440,1,6,7
0,34,1540,-1,6,7
0,35,2310,-1,6,7
0,36,6270,1,6,7
0,37,2280,-1,6,7
0,38,2970,1,6,7
0,39,4740,1,6,7
0,40,720,1,6,7
0,41,3180,-1,6,7
0,42,700,1,6,7
0,43,4270,-1,6,7
0,44,1870,1,6,7
0,45,1040,-1,6,7
0,46,1470,1,6,7
0,47,3050,-1,6,7
0,48,3470,-1,6,7
0,49,1480,1,6,7
0,50,1770,1,0,0
0,51,7960,-1,0,0
0,52,2960,1,0,0
0,53,1330,1,0,0
0,54,1420,1,0,0
0,55,4660,1,0,0
0,56,1850,-1,0,0
0,57,1370,1,0,0
0,58,1250,1,0,0
0,59,920,-1,0,0
0,60,3220,1,0,0
0,61,2740,-1,0,0
0,62,3620,1,0,0
0,63,3740,1,0,0
0,64,3570,1,0,0
0,65,4320,-1,0,0
0,66,1240,1,0,0
0,67,2560,-1,0,0
0,68,5480,-1,0,0
0,69,2140,-1,0,0
0,70,4020,1,0,0
0,71,1520,-1,0,0
0,72,2440,-1,0,0
0,73,6810,-1,0,0
0,74,1380,1,0,0
0,75,2810,-1,0,0
0,76,2250,-1,0,0
0,77,4420,-1,0,0
0,78,3520,-1,0,0
0,79,6350,-1,0,0
0,80,790,1,0,0
0,81,5980,-1,0,0
0,82,7110,-1,0,0
0,83,1010,1,0,0
0,84,4760,1,0,0
0,85,4470,-1,0,0
0,86,1460,1,0,0
0,87,14720,1,0,0
0,88,2350,-1,0,0
