,parcode,rt,choice,trial,item_left,item_right
0,1,4261.735,-1,0,-1.170500554541026,-1.9898509427197442
1,1,3559.258,1,1,1.2875506099951286,1.170500554541026
2,1,3754.464,1,2,1.170500554541026,1.4046006654492311
3,1,2431.751,-1,3,0.8973837584814532,1.170500554541026
4,1,2199.342,-1,4,1.4826340357519663,1.170500554541026
5,1,3269.922,-1,5,-1.092467184238291,-1.170500554541026
6,1,6606.698,-1,6,0.07803337030273506,0.0
7,1,3642.146,1,7,-1.170500554541026,-0.4682002218164104
8,1,5213.48,1,8,1.170500554541026,1.248533924843761
9,1,5511.334,1,9,-1.170500554541026,-0.8193503881787182
10,1,2007.957,-1,10,1.3265672951464962,1.170500554541026
11,1,3124.521,1,11,0.0,-0.1170500554541026
12,1,1978.076,-1,12,1.170500554541026,0.9364004436328208
13,1,2508.548,1,13,1.170500554541026,1.2875506099951286
14,1,3907.246,1,14,-1.170500554541026,-1.7167341466601715
15,1,3482.062,1,15,-0.4291835366650429,0.0
16,1,1823.377,-1,16,0.6242669624218805,0.0
17,1,5111.944,-1,17,-0.1170500554541026,0.0
18,1,4920.474,-1,18,-0.8193503881787182,-1.170500554541026
19,1,1869.935,-1,19,0.9364004436328208,1.170500554541026
20,1,1705.811,-1,20,1.170500554541026,1.4826340357519663
21,1,3083.54,-1,21,-1.170500554541026,-1.4436173506005987
22,1,2474.714,-1,22,0.1170500554541026,0.0
23,1,2272.349,-1,23,0.0,-0.4291835366650429
24,1,3790.48,-1,24,1.4046006654492311,1.170500554541026
25,1,2046.062,-1,25,1.170500554541026,0.8973837584814532
26,1,3822.251,1,26,1.170500554541026,1.3265672951464962
27,1,3347.54,-1,27,-1.170500554541026,-1.092467184238291
28,1,2252.245,1,28,-2.0678843130224793,-1.170500554541026
29,1,2083.424,1,29,-1.9898509427197442,-1.170500554541026
30,1,4155.502,1,30,-1.7947675169629065,-1.170500554541026
31,1,2550.939,-1,31,-1.170500554541026,-2.0678843130224793
32,1,5814.551,-1,32,-1.170500554541026,-1.7947675169629065
33,1,1428.2879999999998,-1,33,1.248533924843761,1.170500554541026
34,1,1743.991,-1,34,0.0,0.1170500554541026
35,1,2329.644,1,35,-1.4436173506005987,-1.170500554541026
36,1,3381.75,1,36,0.0,0.6242669624218805
37,1,2209.993,-1,37,0.0,0.07803337030273506
38,1,3602.313,1,38,-1.7167341466601715,-1.170500554541026
39,1,2506.099,-1,39,-0.4682002218164104,-1.170500554541026
40,1,7964.300999999998,1,40,-1.8728008872656416,-1.170500554541026
41,1,1743.8239999999994,-1,41,1.170500554541026,0.8583670733300858
42,1,2122.334,-1,42,1.0144338139355558,1.170500554541026
43,1,2518.011,1,43,0.0,0.4291835366650429
44,1,2201.475,-1,44,-0.9754171287841883,-1.170500554541026
45,1,2131.478,-1,45,0.9754171287841883,1.170500554541026
46,1,2017.429,-1,46,-0.6242669624218805,0.0
47,1,3241.381,1,47,0.0,0.19508342575683765
48,1,2528.386,-1,48,-1.170500554541026,-1.8728008872656416
49,1,1679.8729999999994,1,49,0.8193503881787182,1.170500554541026
50,1,1513.221,-1,50,-1.170500554541026,-1.5216507209033339
51,1,3359.407,1,51,1.092467184238291,1.170500554541026
52,1,3815.203,-1,52,0.8583670733300858,1.170500554541026
53,1,4747.633,-1,53,-1.5216507209033339,-1.170500554541026
54,1,3013.624000000001,-1,54,0.2341001109082052,0.0
55,1,3695.847,-1,55,-0.2341001109082052,0.0
56,1,1818.684,-1,56,0.5462335921191455,0.0
57,1,3040.837,-1,57,1.170500554541026,0.8193503881787182
58,1,3156.807,-1,58,-0.5462335921191455,-1.170500554541026
59,1,5926.643,1,59,-1.170500554541026,-0.27311679605957273
60,1,4156.099,1,60,0.19508342575683765,0.0
61,1,2333.893,1,61,1.170500554541026,1.3655839802978638
62,1,2362.993,-1,62,-0.3511501663623078,-1.170500554541026
63,1,1705.088,-1,63,0.0,-0.5462335921191455
64,1,1720.385,1,64,-1.170500554541026,-0.7023003327246156
65,1,1728.2179999999994,-1,65,-0.5462335921191455,0.0
66,1,2498.348,1,66,-1.170500554541026,-0.5462335921191455
67,1,3240.459000000001,1,67,0.0,0.5462335921191455
68,1,2765.97,1,68,1.170500554541026,1.0144338139355558
69,1,2998.353,1,69,-0.7023003327246156,-1.170500554541026
70,1,2079.715,-1,70,1.170500554541026,1.092467184238291
71,1,1666.1029999999994,1,71,-1.170500554541026,-0.3511501663623078
72,1,2426.928,-1,72,-0.27311679605957273,-1.170500554541026
73,1,3263.2990000000004,1,73,-1.170500554541026,-0.9754171287841883
74,1,1723.836,-1,74,0.0,-0.6242669624218805
75,1,1368.6429999999998,-1,75,0.0,-0.2341001109082052
76,1,1990.443,-1,76,1.170500554541026,0.9754171287841883
77,1,2997.126,-1,77,0.0,0.2341001109082052
78,1,1573.53,-1,78,1.3655839802978638,1.170500554541026
79,1,2306.153,-1,79,0.4291835366650429,0.0
80,1,2773.406,-1,80,1.170500554541026,1.0534504990869233
81,1,2122.486,1,81,1.170500554541026,1.5606674060547012
82,1,1541.2910000000006,-1,82,0.0,-0.31213348121094026
83,1,1792.184,-1,83,-1.3655839802978638,-1.170500554541026
84,1,1719.1229999999994,-1,84,-0.8973837584814532,-1.170500554541026
85,1,5485.479,1,85,-0.3901668515136753,0.0
86,1,4941.353,1,86,0.0,0.31213348121094026
87,1,1580.206,1,87,-0.5072169069677779,0.0
88,1,3148.962,-1,88,0.0,-0.3901668515136753
89,1,2129.2,1,89,-0.31213348121094026,0.0
90,1,1528.68,-1,90,0.0,0.3901668515136753
91,1,1442.214,-1,91,0.0,-0.5072169069677779
92,1,1628.017,-1,92,-0.07803337030273506,0.0
93,1,2346.231,1,93,1.170500554541026,1.5216507209033339
94,1,3316.3390000000004,-1,94,-0.6242669624218805,-1.170500554541026
95,1,3031.183,-1,95,0.0,-0.19508342575683765
96,1,2266.764,-1,96,0.7803337030273506,1.170500554541026
97,1,1321.42,-1,97,1.5216507209033339,1.170500554541026
98,1,2265.431,1,98,-1.170500554541026,-0.6242669624218805
99,1,4164.13,-1,99,0.31213348121094026,0.0
100,1,2726.3920000000007,-1,100,1.2095172396923934,1.170500554541026
101,1,2464.949,1,101,1.4436173506005987,1.170500554541026
102,1,1844.314,1,102,1.1314838693896585,1.170500554541026
103,1,4667.099,1,103,-1.248533924843761,-1.170500554541026
104,1,3192.227000000001,-1,104,1.5606674060547012,1.170500554541026
105,1,2169.18,-1,105,1.170500554541026,1.1314838693896585
106,1,2349.446,1,106,-0.19508342575683765,0.0
107,1,3171.303,-1,107,1.170500554541026,1.2095172396923934
108,1,2993.885,-1,108,1.170500554541026,1.4436173506005987
109,1,2046.197,-1,109,0.0,-0.07803337030273506
110,1,2000.771,-1,110,1.170500554541026,0.7803337030273506
111,1,3949.34,1,111,1.0534504990869233,1.170500554541026
112,1,2302.897,1,112,-1.6387007763574364,-1.170500554541026
113,1,1967.521,-1,113,0.5072169069677779,0.0
114,1,5436.005,-1,114,0.0,0.5072169069677779
115,1,1555.042,-1,115,0.3901668515136753,0.0
116,1,1991.723,-1,116,-1.170500554541026,-1.6387007763574364
117,1,3401.665,-1,117,-1.170500554541026,-1.3655839802978638
118,1,4202.816,1,118,-1.170500554541026,-1.248533924843761
119,1,2110.906,1,119,-1.170500554541026,-0.8973837584814532
120,2,4393.264,-1,0,-1.170500554541026,-1.9898509427197442
121,2,9018.968,1,1,1.2875506099951286,1.170500554541026
122,2,2271.286,1,2,1.170500554541026,1.4046006654492311
123,2,13824.456,-1,3,0.8973837584814532,1.170500554541026
124,2,2308.854,-1,4,1.4826340357519663,1.170500554541026
